,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
0,2036,2023-02-03,A,154.5500030517578,154.5500030517578,Agilent Technologies,Health Care,agilent,https://app.outboundsales.io/api/logo/agilent.com
1,4073,2023-02-03,AAL,17.020000457763672,17.020000457763672,American Airlines Group,Industrials,american,https://app.outboundsales.io/api/logo/american.com
2,6110,2023-02-03,AAP,152.1699981689453,152.1699981689453,Advance Auto Parts,Consumer Discretionary,advance,https://app.outboundsales.io/api/logo/advance.com
3,8147,2023-02-03,AAPL,154.5,154.5,Apple,Information Technology,apple,https://app.outboundsales.io/api/logo/apple.com
4,10184,2023-02-03,ABBV,145.1999969482422,145.1999969482422,AbbVie,Health Care,abbvie,https://app.outboundsales.io/api/logo/abbvie.com
5,12221,2023-02-03,ABC,156.72999572753906,156.72999572753906,AmerisourceBergen,Health Care,amerisourcebergen,https://app.outboundsales.io/api/logo/amerisourcebergen.com
6,14258,2023-02-03,ABT,111.79000091552734,111.79000091552734,Abbott Laboratories,Health Care,abbott,https://app.outboundsales.io/api/logo/abbott.com
7,16295,2023-02-03,ACN,289.2200012207031,289.2200012207031,Accenture,Information Technology,accenture,https://app.outboundsales.io/api/logo/accenture.com
8,18332,2023-02-03,ADBE,379.3299865722656,379.3299865722656,Adobe,Information Technology,adobe,https://app.outboundsales.io/api/logo/adobe.com
9,20369,2023-02-03,ADI,178.82000732421875,178.82000732421875,Analog Devices,Information Technology,analog,https://app.outboundsales.io/api/logo/analog.com
10,22406,2023-02-03,ADM,82.27999877929688,82.27999877929688,ADM,Consumer Staples,adm,https://app.outboundsales.io/api/logo/adm.com
11,24443,2023-02-03,ADP,225.30999755859372,225.30999755859372,Automatic Data Processing,Information Technology,automatic,https://app.outboundsales.io/api/logo/automatic.com
12,26480,2023-02-03,ADSK,223.66000366210935,223.66000366210935,Autodesk,Information Technology,autodesk,https://app.outboundsales.io/api/logo/autodesk.com
13,28517,2023-02-03,AEE,85.30000305175781,85.30000305175781,Ameren Corp,Utilities,ameren,https://app.outboundsales.io/api/logo/ameren.com
14,30554,2023-02-03,AEP,92.11000061035156,92.11000061035156,American Electric Power,Utilities,american,https://app.outboundsales.io/api/logo/american.com
15,32591,2023-02-03,AES,26.239999771118164,26.239999771118164,AES Corp,Utilities,aes,https://app.outboundsales.io/api/logo/aes.com
16,34628,2023-02-03,AFL,69.38999938964844,69.38999938964844,Aflac,Financials,aflac,https://app.outboundsales.io/api/logo/aflac.com
17,36665,2023-02-03,AIG,58.75,58.75,American International Group,Financials,american,https://app.outboundsales.io/api/logo/american.com
18,38702,2023-02-03,AIZ,133.6300048828125,133.6300048828125,Assurant,Financials,assurant,https://app.outboundsales.io/api/logo/assurant.com
19,40739,2023-02-03,AJG,193.4900054931641,193.4900054931641,Arthur J. Gallagher & Co.,Financials,arthur,https://app.outboundsales.io/api/logo/arthur.com
20,42776,2023-02-03,AKAM,89.33000183105469,89.33000183105469,Akamai Technologies,Information Technology,akamai,https://app.outboundsales.io/api/logo/akamai.com
21,44813,2023-02-03,ALB,287.2300109863281,287.2300109863281,Albemarle Corporation,Materials,albemarle,https://app.outboundsales.io/api/logo/albemarle.com
22,46850,2023-02-03,ALGN,343.1000061035156,343.1000061035156,Align Technology,Health Care,align,https://app.outboundsales.io/api/logo/align.com
23,48887,2023-02-03,ALK,53.470001220703125,53.470001220703125,Alaska Air Group,Industrials,alaska,https://app.outboundsales.io/api/logo/alaska.com
24,50924,2023-02-03,ALL,131.3300018310547,131.3300018310547,Allstate Corp,Financials,allstate,https://app.outboundsales.io/api/logo/allstate.com
25,52961,2023-02-03,ALLE,122.93000030517578,122.93000030517578,Allegion,Industrials,allegion,https://app.outboundsales.io/api/logo/allegion.com
26,54998,2023-02-03,AMAT,119.9800033569336,119.9800033569336,Applied Materials,Information Technology,applied,https://app.outboundsales.io/api/logo/applied.com
27,56231,2023-02-03,AMCR,12.029999732971191,12.029999732971191,Amcor,Materials,amcor,https://app.outboundsales.io/api/logo/amcor.com
28,58268,2023-02-03,AMD,86.08999633789062,86.08999633789062,Advanced Micro Devices,Information Technology,advanced,https://app.outboundsales.io/api/logo/advanced.com
29,60305,2023-02-03,AME,146.3800048828125,146.3800048828125,Ametek,Industrials,ametek,https://app.outboundsales.io/api/logo/ametek.com
30,62342,2023-02-03,AMGN,245.1699981689453,245.1699981689453,Amgen,Health Care,amgen,https://app.outboundsales.io/api/logo/amgen.com
31,64379,2023-02-03,AMP,354.1000061035156,354.1000061035156,Ameriprise Financial,Financials,ameriprise,https://app.outboundsales.io/api/logo/ameriprise.com
32,66416,2023-02-03,AMT,222.05999755859372,222.05999755859372,American Tower,Real Estate,american,https://app.outboundsales.io/api/logo/american.com
33,68453,2023-02-03,AMZN,103.38999938964844,103.38999938964844,Amazon,Consumer Discretionary,amazon,https://app.outboundsales.io/api/logo/amazon.com
34,70490,2023-02-03,ANET,131.9600067138672,131.9600067138672,Arista Networks,Information Technology,arista,https://app.outboundsales.io/api/logo/arista.com
35,72527,2023-02-03,ANSS,275.2300109863281,275.2300109863281,Ansys,Information Technology,ansys,https://app.outboundsales.io/api/logo/ansys.com
36,74564,2023-02-03,AON,313.6400146484375,313.6400146484375,Aon,Financials,aon,https://app.outboundsales.io/api/logo/aon.com
37,76601,2023-02-03,AOS,69.05000305175781,69.05000305175781,A. O. Smith,Industrials,a.,https://app.outboundsales.io/api/logo/a.com
38,78638,2023-02-03,APA,42.040000915527344,42.040000915527344,APA Corporation,Energy,apa,https://app.outboundsales.io/api/logo/apa.com
39,80675,2023-02-03,APD,285.0199890136719,285.0199890136719,Air Products & Chemicals,Materials,air,https://app.outboundsales.io/api/logo/air.com
40,82712,2023-02-03,APH,81.62000274658203,81.62000274658203,Amphenol,Information Technology,amphenol,https://app.outboundsales.io/api/logo/amphenol.com
41,84749,2023-02-03,APTV,115.7300033569336,115.7300033569336,Aptiv,Consumer Discretionary,aptiv,https://app.outboundsales.io/api/logo/aptiv.com
42,86786,2023-02-03,ARE,167.7899932861328,167.7899932861328,Alexandria Real Estate Equities,Real Estate,alexandria,https://app.outboundsales.io/api/logo/alexandria.com
43,88823,2023-02-03,ATO,117.19000244140624,117.19000244140624,Atmos Energy,Utilities,atmos,https://app.outboundsales.io/api/logo/atmos.com
44,90860,2023-02-03,ATVI,75.23999786376953,75.23999786376953,Activision Blizzard,Communication Services,activision,https://app.outboundsales.io/api/logo/activision.com
45,92897,2023-02-03,AVB,180.25,180.25,AvalonBay Communities,Real Estate,avalonbay,https://app.outboundsales.io/api/logo/avalonbay.com
46,94934,2023-02-03,AVGO,597.6199951171875,597.6199951171875,Broadcom,Information Technology,broadcom,https://app.outboundsales.io/api/logo/broadcom.com
47,96971,2023-02-03,AVY,181.1999969482422,181.1999969482422,Avery Dennison,Materials,avery,https://app.outboundsales.io/api/logo/avery.com
