,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector
2036,2036,2023-02-03,A,154.5500030517578,154.5500030517578,Agilent Technologies,Health Care
4073,4073,2023-02-03,AAL,17.020000457763672,17.020000457763672,American Airlines Group,Industrials
6110,6110,2023-02-03,AAP,152.1699981689453,152.1699981689453,Advance Auto Parts,Consumer Discretionary
8147,8147,2023-02-03,AAPL,154.5,154.5,Apple,Information Technology
10184,10184,2023-02-03,ABBV,145.1999969482422,145.1999969482422,AbbVie,Health Care
12221,12221,2023-02-03,ABC,156.72999572753906,156.72999572753906,AmerisourceBergen,Health Care
14258,14258,2023-02-03,ABT,111.79000091552734,111.79000091552734,Abbott Laboratories,Health Care
16295,16295,2023-02-03,ACN,289.2200012207031,289.2200012207031,Accenture,Information Technology
18332,18332,2023-02-03,ADBE,379.3299865722656,379.3299865722656,Adobe,Information Technology
20369,20369,2023-02-03,ADI,178.82000732421875,178.82000732421875,Analog Devices,Information Technology
22406,22406,2023-02-03,ADM,82.27999877929688,82.27999877929688,ADM,Consumer Staples
24443,24443,2023-02-03,ADP,225.30999755859372,225.30999755859372,Automatic Data Processing,Information Technology
26480,26480,2023-02-03,ADSK,223.66000366210935,223.66000366210935,Autodesk,Information Technology
28517,28517,2023-02-03,AEE,85.30000305175781,85.30000305175781,Ameren Corp,Utilities
30554,30554,2023-02-03,AEP,92.11000061035156,92.11000061035156,American Electric Power,Utilities
32591,32591,2023-02-03,AES,26.239999771118164,26.239999771118164,AES Corp,Utilities
34628,34628,2023-02-03,AFL,69.38999938964844,69.38999938964844,Aflac,Financials
36665,36665,2023-02-03,AIG,58.75,58.75,American International Group,Financials
38702,38702,2023-02-03,AIZ,133.6300048828125,133.6300048828125,Assurant,Financials
40739,40739,2023-02-03,AJG,193.4900054931641,193.4900054931641,Arthur J. Gallagher & Co.,Financials
42776,42776,2023-02-03,AKAM,89.33000183105469,89.33000183105469,Akamai Technologies,Information Technology
44813,44813,2023-02-03,ALB,287.2300109863281,287.2300109863281,Albemarle Corporation,Materials
46850,46850,2023-02-03,ALGN,343.1000061035156,343.1000061035156,Align Technology,Health Care
48887,48887,2023-02-03,ALK,53.470001220703125,53.470001220703125,Alaska Air Group,Industrials
50924,50924,2023-02-03,ALL,131.3300018310547,131.3300018310547,Allstate Corp,Financials
52961,52961,2023-02-03,ALLE,122.93000030517578,122.93000030517578,Allegion,Industrials
54998,54998,2023-02-03,AMAT,119.9800033569336,119.9800033569336,Applied Materials,Information Technology
56231,56231,2023-02-03,AMCR,12.029999732971191,12.029999732971191,Amcor,Materials
58268,58268,2023-02-03,AMD,86.08999633789062,86.08999633789062,Advanced Micro Devices,Information Technology
60305,60305,2023-02-03,AME,146.3800048828125,146.3800048828125,Ametek,Industrials
62342,62342,2023-02-03,AMGN,245.1699981689453,245.1699981689453,Amgen,Health Care
64379,64379,2023-02-03,AMP,354.1000061035156,354.1000061035156,Ameriprise Financial,Financials
66416,66416,2023-02-03,AMT,222.05999755859372,222.05999755859372,American Tower,Real Estate
68453,68453,2023-02-03,AMZN,103.38999938964844,103.38999938964844,Amazon,Consumer Discretionary
70490,70490,2023-02-03,ANET,131.9600067138672,131.9600067138672,Arista Networks,Information Technology
72527,72527,2023-02-03,ANSS,275.2300109863281,275.2300109863281,Ansys,Information Technology
74564,74564,2023-02-03,AON,313.6400146484375,313.6400146484375,Aon,Financials
76601,76601,2023-02-03,AOS,69.05000305175781,69.05000305175781,A. O. Smith,Industrials
78638,78638,2023-02-03,APA,42.040000915527344,42.040000915527344,APA Corporation,Energy
80675,80675,2023-02-03,APD,285.0199890136719,285.0199890136719,Air Products & Chemicals,Materials
82712,82712,2023-02-03,APH,81.62000274658203,81.62000274658203,Amphenol,Information Technology
84749,84749,2023-02-03,APTV,115.7300033569336,115.7300033569336,Aptiv,Consumer Discretionary
86786,86786,2023-02-03,ARE,167.7899932861328,167.7899932861328,Alexandria Real Estate Equities,Real Estate
88823,88823,2023-02-03,ATO,117.19000244140624,117.19000244140624,Atmos Energy,Utilities
90860,90860,2023-02-03,ATVI,75.23999786376953,75.23999786376953,Activision Blizzard,Communication Services
92897,92897,2023-02-03,AVB,180.25,180.25,AvalonBay Communities,Real Estate
94934,94934,2023-02-03,AVGO,597.6199951171875,597.6199951171875,Broadcom,Information Technology
96971,96971,2023-02-03,AVY,181.1999969482422,181.1999969482422,Avery Dennison,Materials
99008,99008,2023-02-03,AWK,156.61000061035156,156.61000061035156,American Water Works,Utilities
101045,101045,2023-02-03,AXP,178.86000061035156,178.86000061035156,American Express,Financials
103082,103082,2023-02-03,AZO,2398.510009765625,2398.510009765625,AutoZone,Consumer Discretionary
105119,105119,2023-02-03,BA,206.00999450683597,206.00999450683597,Boeing,Industrials
107156,107156,2023-02-03,BAC,36.43000030517578,36.43000030517578,Bank of America,Financials
109193,109193,2023-02-03,BAX,46.68000030517578,46.68000030517578,Baxter International,Health Care
111230,111230,2023-02-03,BBWI,46.84999847412109,46.84999847412109,Bath & Body Works Inc.,Consumer Discretionary
113267,113267,2023-02-03,BBY,90.31999969482422,90.31999969482422,Best Buy,Consumer Discretionary
115304,115304,2023-02-03,BDX,245.83999633789065,245.83999633789065,Becton Dickinson,Health Care
117341,117341,2023-02-03,BEN,33.27000045776367,33.27000045776367,Franklin Resources,Financials
119378,119378,2023-02-03,BIIB,283.6300048828125,283.6300048828125,Biogen,Health Care
121415,121415,2023-02-03,BIO,470.8800048828125,470.8800048828125,Bio-Rad Laboratories,Health Care
123452,123452,2023-02-03,BK,50.22999954223633,50.22999954223633,BNY Mellon,Financials
